,clustered,ecoinvent_prod,manual_certainty,manual_match_certainty,hard no
0,air conditioning system filters,"air filter, central unit, 600 m3/h",yes,low,
1,commercial vehicle,used light commercial vehicle,yes,high,
2,copper foils,copper-rich materials,yes,low,
3,aeronautical load banks,"aircraft, dedicated freight, long haul",no,no,
4,3d printing,"printer, laser, colour",yes,low,
5,"actuators, electromagnetic","electric motor, vehicle",no,no,
6,compressed cardboard,liquid packaging board container,no,no,
7,construction material hoppers,"packing, clay product",no,no,
8,wine cellar articles,grape,no,no,
9,wine taps,grape,no,no,
10,air freshener,"operation, dried roughage store, cold-air dried, conventional",no,no,
11,agricultural diesel fuel,diesel,yes,medium,
12,agricultural diesel fuel,"diesel, burned in diesel-electric generating set, 10MW",no,no,
13,1-speed electric chain hoists,used electric bicycle,no,no,
14,copper brans,"copper, cathode",no,no,
15,garlic stripper,onion,no,no,
16,14 ct gold jewellery,gold,yes,high,
17,cored wires,"wire drawing, steel",yes,low,
18,agricultural springs,agricultural trailer,no,no,
19,mountain tractors,"tractor, 4-wheel, agricultural",yes,high,
20,construction winches,metal working factory,no,no,
21,gelling agent,"fluorescent whitening agent, distyrylbiphenyl type",yes,high,
22,wines - france,grape,yes,low,
23,gelatins,aubergine,no,no,
24,4-corner blade,"mowing, by rotary mower",no,no,
25,abrasives for deburring,ash from deinking sludge,no,no,
26,air freshener,"dried roughage store, air dried, solar",no,no,
27,german pumps,pump station,no,no,
28,gift photo tiles,ceramic tile,yes,high,
29,gate seals,plastic tunnel,no,no,
30,compressed air tyre lever,"waste, pneumatic tyres",yes,low,
31,windsurfing gear,"wind turbine, 750kW, onshore",no,no,
32,concrete covered poles,"concrete, 25-30MPa",yes,low,
33,agricultural nets,"tractor, 4-wheel, agricultural",no,no,
34,gas fitting,"natural gas, low pressure",no,no,
35,colour sensors,"toner module, laser printer, colour",no,no,
36,compressed air tyre lever,"compressed air, 600 kPa gauge",yes,low,
37,gallettes,esterquat,no,no,
38,mobile laser welding devices,"laser machining, metal, with YAG-laser, 50W power",no,no,
39,wine grapes,grape,yes,high,
40,"wines, jura",grape,yes,low,
41,water buckets,heavy water,no,no,
42,convection oven,cookstove,yes,low,
43,"wines, burgundy",benzyl alcohol,no,no,
44,control relays,"ventilation control and wiring, central unit",no,no,
45,yoga cushion,mattress,no,no,
46,gianduiotti,ferronickel,no,no,
47,convoying chains,"transport, trolleybus",no,no,
48,gas fitting,gas boiler,no,no,
49,gem salt,salt,yes,medium,
50,zamak caps,zircon,no,no,
51,adhesive bumpers,polyurethane adhesive,no,no,
52,1st choice viscose,"fibre, viscose",yes,high,
53,cordless vacuums,"wood preservation facility, vacuum pressure method",no,no,
54,waste disposal plants,sanitary landfill facility,no,no,
55,water repellants for limestone,"limestone, crushed, for mill",no,no,
56,gas storage balloons,synthetic gas,no,no,
57,acrylic glass,acrylic acid,no,no,
58,containers for growing fodder,"used reefer, intermodal shipping container, 40-foot, high-cube",no,no,
59,additives for plastic materials,"waste plastic, mixture",no,no,
60,copper wire,"copper, cathode",no,no,
61,actuator,used motor scooter,no,no,
62,windsurfing gear,"wind turbine, 4.5MW, onshore",no,no,
63,gelatine,pineapple,no,no,
64,wines - austria,"cheese, from cow milk, fresh, unripened",no,no,
65,aged cheeses,"cheese, from cow milk, fresh, unripened",yes,high,
66,white ice-cream machines,paper machine,no,no,
67,container rollers,liquid packaging board container,no,no,
68,24-hour vending machine,building machine,no,no,
69,gabion,zineb,no,no,
70,natural waters,"water, harvested from rainwater",yes,high,
71,wholewheat bread,wheat flour,yes,low,
72,gem salt,potash salt,yes,high,
73,water buckets,water storage,no,no,
74,garden strimmers,"grass, organic",no,no,
75,wood charcoal,"wood ash mixture, pure",no,no,
76,mobile phone chargers,"power adapter, for smartphone",yes,high,
77,abrasive flap wheels,"waste rubber, unspecified",no,no,
78,ginseng extract,"mint seedling, for planting",no,no,
79,mixed-fuel stoves,"coal stove, 5-15kW",yes,medium,
80,zinc alloy,zinc concentrate,no,no,
81,wheat bread,wheat grain,yes,low,
82,mix for special bread,maize flour,no,no,
83,whisky,bark,no,no,
84,young bovine carcass,"mineral supplement, for beef cattle",no,no,
85,nitrile protective gloves,nitrile-compound,no,no,
86,yellow corn,"maize grain, organic",no,no,
87,natural yeasts,fodder yeast,yes,low,
88,"game, deep-frozen","frozen fish sticks, hake",no,no,
89,control panels for heating plants,"heating and sanitary equipment, mini CHP plant",no,no,
90,acacia honey,almond,no,no,
91,cooling tanks,"hot water tank, 600l",yes,low,
92,wine grapes,strawberry,no,no,
93,wines - loire valley,grape,yes,low,
94,coloured glasses,"packaging glass, brown",yes,medium,
95,3d laser scanners,"printer, laser, colour",no,no,
96,acid-resistant cast steel,"aluminium, cast alloy",no,no,
97,additives for dressed pork products,"poultry manure, dried",no,no,
98,wines - languedoc roussillon,grape,yes,low,
99,aerial cables,"cable, unspecified",yes,low,
100,galvanized fence,"zinc coat, coils",yes,low,
101,connector cables,"cable, three-conductor cable",yes,medium,
102,commercial refrigerator cabinets,"control cabinet, heat and power co-generation unit, 160kW electrical",yes,medium,
103,galvanized sheet metal,metal coating facility,no,no,
104,conveyer belts,"transport, trolleybus",no,no,
105,concrete core drills,"concrete, 25-30MPa",no,no,
106,additives for polyurethane,"polyurethane, flexible foam, flame retardant",yes,low,
107,gem salt,"sodium chloride, powder",yes,medium,
108,acial piston motors,"electric motor, electric passenger car",yes,low,
109,connector cables,"cable, ribbon cable, 20-pin, with plugs",yes,medium,
110,glamour glaze sparkled gel,ceramic tile,no,no,
111,advent calendar,"calendering, rigid sheets",no,no,
112,condensed milk,milking,yes,low,
113,cooling lubricants,residue from cooling tower,no,no,
114,aeronautical raw metallic materials,"aluminium, cast alloy",yes,medium,
115,construction winches,"joist, engineered wood",no,no,
116,garden ornaments,horticultural fleece,no,no,
117,1st choice rattan strip,1-pentanol,no,no,
118,"garages, prefabricated",cement factory,no,no,
119,wines - valencia,pulp factory,no,no,
120,"games, garden","potato seed, at farm",no,no,
121,gelatine,aubergine,no,no,
122,gift photo tiles,roof tile,yes,high,
123,gas pressure control units,"natural gas, medium pressure, vehicle grade",no,no,
124,conveyor belts to order,"transport, freight, conveyor belt",yes,high,
125,4wd vehicles,light commercial vehicle,yes,low,
126,actuator,"elevator, hydraulic",no,no,
127,furniture legs,plywood,yes,low,
128,1/4 pallets,EUR-flat pallet,yes,high,
129,zinc,zinc concentrate,no,no,
130,weathering test devices,"titanium zinc plate, without pre-weathering",no,no,
131,containers for cosmetics,"used reefer, intermodal shipping container, 40-foot, high-cube",no,no,
132,wheat hay,wheat bran,no,no,
133,gas mixers,"industrial furnace, natural gas",no,no,
134,waste disposal tank,"waste plastic plaster, for final disposal",no,no,
135,water repellants for marble,"waste cement, hydrated",no,no,
136,wines - new zealand,"cheese, from cow milk, fresh, unripened",no,no,
137,control valve,"exhaust air valve, in-wall housing, plastic/steel, DN 125",yes,medium,
138,conical washers,washing machine,no,no,
139,adhesive friezes,adhesive mortar,no,no,
140,acid-resistant cast steel,scrap steel,yes,medium,
141,young bovine carcass,"manure, solid, cattle",no,no,
142,wines argentina,"molasses, from sugar beet",no,no,
143,mixed juices,strawberry,yes,low,
144,wines - languedoc roussillon,benzyl alcohol,no,no,
145,construction material hoppers,building machine,no,no,
146,2-speed electric chain hoists,used electric bicycle,no,no,
147,non-woven filter materials,"textile, nonwoven polyester",yes,low,
148,gas mixers,synthetic gas factory,no,no,
149,condensed milk,"skimmed milk, from cow milk",yes,low,
150,wine on the tap,tap water,no,no,
151,gift items in gold,silver,no,no,
152,water guns,water storage,no,no,
153,"compounds, inorganic","solvent, organic",no,no,
154,cooking hobs,coconut husk,no,no,
155,conveyor belt drums,conveyor belt,yes,low,
156,zootechnical feed,"soybean, feed",yes,low,
157,multigrain bread,wheat flour,yes,low,
158,acid oil,sulfuric acid,no,no,
159,contact tubes for annealing,evacuated tube collector,no,no,
160,"galvanised tubes, galvanised tube",tube insulation factory,no,no,
161,copper coated tanks,copper carbonate,yes,low,
162,wines sicily,grape,yes,low,
163,national wood,"sawnwood, hardwood, raw",yes,low,
164,air circulators,"ventilation system, decentralized, 6 x 120 m3/h, polyethylene ducts",no,no,
165,components for mandrels,electronic component factory,no,no,
166,copper brans,wheat bran,no,no,
167,galvanizing kettles,"coal stove, 5-15kW",no,no,
168,napkins,tissue paper,no,no,
169,gas teppanyaki grill,coal gas,no,no,
170,garden furniture,"wooden board factory, organic bonded boards",no,no,
171,cooling towers,"operation, reefer, cooling",no,no,
172,concrete stones,cement mortar,yes,low,
173,"additives, pigments","selective coat, aluminium sheet, nickel pigmented aluminium oxide",no,no,
174,composition plants,"wheat grain, feed, organic",yes,medium,
175,copper foils,"copper, cathode",no,no,
176,adjustable speed control motors,"electric motor, for electric scooter",yes,low,
177,compression springs,hydraulic digger,no,no,
178,"galvanised tubes, galvanised tube","casting, brass",no,no,
179,"additives, pigments",solvent for paint,no,no,
180,coloured glasses,foam glass,yes,medium,
181,waste disposal plants,municipal solid waste,yes,low,
182,water pistols,heavy water,no,no,
183,convertible roofs,concrete roof tile,yes,low,
184,cooked salami,polyacrylamide,no,no,
185,mozzarella,"cheese, from cow milk, fresh, unripened",yes,low,
186,air flow meter,"compressed air, 1200 kPa gauge",no,no,
187,agricultural canvas,planting,no,no,
188,young wine,grape,yes,low,
189,nitrous oxide,nitrous oxide,yes,high,
190,wines - france,benzyl alcohol,no,no,
191,container rollers,container ship,no,no,
192,aerial cables,"cable, three-conductor cable",no,no,
193,wine vinegar,grape,no,no,
194,actuator connectors,"electric connector, peripheral component interconnect buss",yes,low,
195,game-bags,"purse seiner, wood",no,no,
196,gas bottle,natural gas liquids,no,no,
197,mountain tractors,"transport, tractor and trailer, agricultural",yes,high,
198,wines - galicia,grape,yes,low,
199,nickel pipes,nickel-rich materials,no,no,
200,cooking robots for the home,cookstove,no,no,
201,activated carbon reactivation,carbon tetrachloride,no,no,
202,air flow regulators,"air filter, decentralized unit, 250 m3/h",no,no,
203,gaming chassis,core board,no,no,
204,conveyer belts,"transport, freight, conveyor belt",yes,high,
205,additives for dressed pork products,"grass silage, organic",no,no,
206,game-bags,cocoons,no,no,
207,german cosmetics,benzene,no,no,
208,gelatin for pharmaceutical use,acrylonitrile,no,no,
209,moisture barrier foil,"aluminium collector foil, for Li-ion battery",no,no,
210,containers for cosmetics,liquid packaging board container,yes,low,
211,containers for cosmetics,"packaging, for pesticides",no,no,
212,activated carbon reactivation,carbon monoxide,no,no,
213,condensed milk,evaporation of milk,yes,high,
214,natural resins,phenolic resin,yes,high,
215,adhesive tape,"sealing tape, aluminium/PE, 50 mm wide",no,no,
216,copper oxide,copper oxide,yes,high,
217,contact rivets with galvanic surface finishing,"tinplate, in mixed metal scrap",no,no,
218,commercial vehicle,"maintenance, light commercial vehicle",yes,medium,
219,concrete alveolar slabs,concrete roof tile,yes,medium,
220,wines - galicia,mango,no,no,
221,agricultural canvas,"packing, clay product",no,no,
222,conditioner,"maintenance, refrigeration machine",no,no,
223,german pumps,"pump, 40W",yes,medium,
224,gardening machines,"agricultural machinery, tillage",yes,high,
225,gas teppanyaki grill,cookstove,no,no,
226,containers for removals,"maintenance, container ship",no,no,
227,copper bars,copper carbonate,no,no,
228,14 ct gold jewellery,"gold, unrefined",yes,high,
229,conveyor belt cover,conveyor belt,yes,low,
230,garment bags,"textile, woven cotton",yes,low,
231,non-slip pallet separators,EUR-flat pallet,no,no,
232,wc,bronze,no,no,
233,mixed fruit,mango,yes,low,
234,acid containers,"liquid storage tank, chemicals, organics",yes,low,
235,wine taps,"lime, hydraulic",no,no,
236,non-woven filter materials,"textile, nonwoven polypropylene",yes,low,
237,gas rotisseries,biogas,no,no,
238,adhesive paper,printed paper,yes,low,
239,commercial vehicle,"transport, freight, light commercial vehicle",yes,medium,
240,galvanised steel joins,"steel, chromium steel 18/8",yes,high,
241,wine-making plants,"strawberry seedling, for planting",no,no,
242,natural veneer,"sawlog and veneer log, meranti, debarked, measured as solid wood",yes,low,
243,"wines, burgundy",mandarin,no,no,
244,competition motorcycle,"electric motor, for electric scooter",yes,low,
245,adhesive tape,"used sealing tape aluminium/PE, 50 mm wide",no,no,
246,agen prune juice,zinc concentrate,no,no,
247,non-alcoholic wines,grape,yes,low,
248,copper wire,copper-rich materials,yes,low,
249,conical washers,dishwasher,no,no,
250,white ice-cream machines,"cream, from cow milk",no,no,
251,moulded hoses,synthetic rubber,yes,low,
252,yoga bolster,mattress,no,no,
253,advent calendar,"thermoforming, with calendering",no,no,
254,wheat bread,"wheat grain, feed",no,no,
255,gas sensors,natural gas liquids,no,no,
256,yellow pollen,tin dioxide,no,no,
257,gate seals,"bitumen seal, V60",yes,high,
258,"garages, prefabricated",hydraulic digger,no,no,
259,coloured table napkins,"bleaching, textile",no,no,
260,garden nets,planting,no,no,
261,waterproof tarpaulins for trucks,waste asphalt,no,no,
262,containers for packaging purposes,"used intermodal shipping container, 40-foot, high-cube",yes,high,
263,components for mandrels,mancozeb,no,no,
264,construction winches,"wooden board factory, cement bonded boards",no,no,
265,"garages, prefabricated","garage, wood, non-insulated, fire-protected",yes,high,
266,cooling tanks,"operation, reefer, cooling",no,no,
267,natural oil processor,"vegetable oil, refined",yes,low,
268,gasholders,natural gas liquids,no,no,
269,wine cork,fatty alcohol,no,no,
270,non-woven dust sheets,"textile, nonwoven polyester",yes,low,
271,wine vinegar,benzyl alcohol,no,no,
272,gas mixers,natural gas liquids,no,no,
273,coloured rattan cores,light clay brick,no,no,
274,wooden shed,"used window frame, wood",no,no,
275,copper,"copper, cathode",yes,high,
276,collection coins,mint,yes,medium,
277,colour free preservative free drink,soybean beverage,no,no,
278,white ice-cream machines,dairy,no,no,
279,gentian,millet,no,no,
280,glass block,"flat glass, coated",yes,low,
281,adhesive steel foils,reinforcing steel,no,no,
282,acoustic insulation wood windows,"door, outer, wood-glass",no,no,
283,moulding sand,sand,yes,medium,
284,gas blowtorch,used blower and heat exchange unit Storkair G 90,no,no,
285,compressed air tyre lever,"compressed air, 800 kPa gauge",yes,low,
286,water repellants for limestone,"limestone, crushed, washed",no,no,
287,copper pastes,copper oxide,yes,low,
288,motor,"gas motor, 206kW",yes,medium,
289,conveyor belt cover,"transport, freight, conveyor belt",no,no,
290,adhesive tape dispenser,"used sealing tape aluminium/PE, 50 mm wide",no,no,
291,wines - germany,"vinasse, from fermentation of sugar beet molasses",no,no,
292,"wines, abruzzo",grape,yes,low,
293,wines argentina,grape,yes,low,
294,activated carbon reactivation,"activated carbon, granular",yes,medium,
295,cooling belt,"operation, reefer, cooling",no,no,
296,concentrated butter for bakeries,"buttermilk, from cow milk",yes,low,
297,gameboy,banana,no,no,
298,nickel alloy,iron-nickel-chromium alloy,yes,medium,
299,air cargo pallets,"aircraft, belly freight, short haul",no,no,
300,convertible roofs,roof tile,yes,low,
301,aerogenerators,"dust collector, electrostatic precipitator, for industrial use",no,no,
302,containers for hazardous goods,"used reefer, intermodal shipping container, 40-foot, high-cube",yes,low,
303,wines - basque country,grape,yes,low,
304,white cement,"cement, type S",yes,low,
305,wines - alsace,benzaldehyde,no,no,
306,water buckets,"water, deionised",yes,low,
307,contact dryers,dryer,yes,medium,
308,"wines, burgundy","lime, hydrated, packed",no,no,
309,copper wire,"wire drawing, copper",yes,medium,
310,continuous conveyors,conveyor belt,yes,medium,
311,collectors' tokens in gold,"gold, unrefined",yes,medium,
312,"wines, portugal",benzyl alcohol,no,no,
313,whirlpool baths,washing machine,no,no,
314,compact vacuum sweepers,vacuum cleaner,yes,medium,
315,copper foils,copper carbonate,no,no,
316,gift paintings,waste paint,yes,low,
317,conveyor belt connections,conveyor belt,no,no,
318,wooden shed,wood wool,no,no,
319,waste disposal tank,"inert waste, for final disposal",no,no,
320,gear pumps,marine engine,no,no,
321,motorcycle trousers,nylon 6,no,no,
322,gift paintings,"cement, ART",no,no,
323,air conditioners for camper vans,"gas turbine, 80MW, for compressed air energy storage",no,no,
324,aerial cables,cable yarding,no,no,
325,4-corner blade,potato haulm cutting,no,no,
326,gas braziers,propane,no,no,
327,14 ct gold jewellery,bronze,no,no,
328,"gas, compressed",coal gas,yes,high,
329,gilthead breams,lentil,no,no,
330,acoustic ceiling tiles,concrete roof tile,yes,medium,
331,agitators for wastewater treatment,"wastewater treatment facility, capacity 5E9l/year",yes,low,
332,containers for liquid transport,liquid packaging board container,yes,medium,
333,gear plates,"maintenance, bicycle",no,no,
334,yarns,"yarn, kenaf",yes,low,
335,zero-point-clamping,"electric connector, wire clamp",no,no,
336,actuator,"controller, for electric scooter",no,no,
337,"gas, compressed",synthetic gas,yes,high,
338,waste disposal tank,sanitary landfill facility,no,no,
339,moving boxes,corrugated board box,no,no,
340,n-rich organic fertilizer,"organic nitrogen fertiliser, as N",yes,high,
341,nickel rings,"nickel, class 1",yes,low,
342,galvanised steel stay cables,"cable, three-conductor cable",yes,medium,
343,new cars,"passenger car, diesel",yes,high,
344,yoga cushion,glass wool mat,no,no,
345,windsurfing gear,"wind turbine, 2MW, onshore",no,no,
346,gardening machines,"agricultural machinery, unspecified",yes,high,
347,coloured mortars,adhesive mortar,yes,medium,
348,coloured glass filters,wastewater from glass production,no,no,
349,"wines, molise",grape,yes,low,
350,compressed cardboard,waste packaging paper,yes,low,
351,white cement,"cement, unspecified",yes,low,
352,wholewheat bread,wheat bran,yes,low,
353,active carbon filter,spent activated carbon with mercury,no,no,
354,acid pump,propionic acid,no,no,
355,consultatns on enamels,clay plaster,no,no,
356,additives for plastic materials,"waste plastic, industrial electronics",no,no,
357,giblets,chickpea,no,no,
358,wines - navarre,benzyl alcohol,no,no,
359,composite moulds,injection moulding,yes,low,
360,copper coated tanks,copper-rich materials,yes,low,
361,copper,scrap copper,yes,high,
362,motor vehicle engines,"electric motor, electric passenger car",yes,high,
363,wines - murcia,grape,yes,low,
364,wine-making plants,planting,no,no,
365,air filters,"air filter, in exhaust air valve",yes,low,
366,mixed-fuel stoves,cookstove,yes,medium,
367,air circulators,"ventilation system, central, 1 x 720 m3/h, steel ducts, with earth tube heat exchanger",no,no,
368,control switches - electric,"electronics, for control units",yes,low,
369,air exchanger,"blower and heat exchange unit, Avent E 97",no,no,
370,non-woven fabric,"textile, nonwoven polyester",yes,medium,
371,commercial refrigerator cabinets,"used refrigeration machine, R134a as refrigerant",no,no,
372,air forwarding,forwarder,yes,medium,
373,"windows, metal","silicon, metallurgical grade",no,no,
374,wines - france,benzene,no,no,
375,"compounds, inorganic","phosphorus, white, liquid",no,no,
376,galvanised steel stay cables,reinforcing steel,no,no,
377,composite moulds,"carbon fibre reinforced plastic, injection moulded",no,no,
378,control valve,"air filter, in exhaust air valve",yes,medium,
379,galvanised steel tube,chromium steel pipe,yes,low,
380,natural sparkling wines,grape,yes,low,
381,garden beams,"joist, engineered wood",yes,low,
382,yarns,"yarn, jute",yes,low,
383,wine crates,"lime, hydrated, packed",no,no,
384,whole roast pig,pig iron,no,no,
385,zootechnical feed,"trout feed, 42% protein",yes,low,
386,comminution mills,rolling mill,no,no,
387,whisky,piperidine,no,no,
388,compressed air tool,"compressed air, 1000 kPa gauge",yes,low,
389,nuclear fuel,spent nuclear fuel,yes,high,
390,waterpipe tobacco cutter,"drawing of pipe, steel",no,no,
391,garden composters,"waste wood, post-consumer",yes,low,
392,water plants,"water, harvested from rainwater",no,no,
393,concrete alveolar slabs,concrete block,yes,medium,
394,acesulfame,sulfur,no,no,
395,wines - italy,olive,no,no,
396,aeronautical load banks,"aircraft, belly freight, long haul",no,no,
397,wines - austria,benzyl alcohol,no,no,
398,cordless screwdrivers,"cable, printer cable, without plugs",no,no,
399,air filters,"air filter, central unit, 600 m3/h",yes,low,
400,natural fibre ropes,"fibre, cotton",yes,low,
401,water buckets,tap water,no,no,
402,acoustic isolation,"electronic component, passive, mobile, earpiece and speaker",no,no,
403,garlic bulbs,compact fluorescent lamp,no,no,
404,4wd vehicles,used light commercial vehicle,yes,low,
405,garden shed kit,agricultural trailer,no,no,
406,agricultural canvas,"paper, woodcontaining, lightweight coated",no,no,
407,wine-making plants,ethanol fermentation plant,no,no,
408,cooked cold meat,meat and bone meal,yes,low,
409,compound-filled flexible leads,lead,yes,medium,
410,wine additives,grape,no,no,
411,cooling towers,"thermal storage system, solar tower power plant, 20 MW",no,no,
412,consultatns on enamels,anionic resin,no,no,
413,competition motorcycle,used motor scooter,yes,medium,
414,galvanized wire,"aluminium around steel bi-metal wire, 3.67mm external diameter",yes,high,
415,control system actuators,"electronics, for control units",no,no,
416,coloured mortars,lime mortar,yes,medium,
417,gfk mobile telephone masts,used smartphone,no,no,
418,abrasive tapes,paper sack,no,no,
419,wheelchair lifts,"skidding, skidder",no,no,
420,wood charcoal,coal tar,no,no,
421,adhesion promoters,adhesive mortar,no,no,
422,construction winches,"building, hall, steel construction",no,no,
423,agricultural bikes,"tractor, 4-wheel, agricultural",no,no,
424,wood charcoal,charcoal,yes,high,
425,additives for polyurethane,waste polyurethane,yes,low,
426,containers for removals,liquid packaging board container,yes,low,
427,cooling tanks,"heat storage, 2000l",no,no,
428,ginseng extract,mint,no,no,
429,air filters,"air filter, decentralized unit, 180-250 m3/h",yes,low,
430,garden strimmers,stibnite concentrate,no,no,
431,cords made of polyester,"fibre, polyester",yes,medium,
432,wines - austria,grape,yes,low,
433,compound-filled flexible leads,"used flexible duct aluminium/PET, DN of 125",no,no,
434,adhesive tape dispenser,polyurethane adhesive,no,no,
435,contact tubes for annealing,"tube insulation, elastomere",no,no,
436,cone dyers for powders,"sodium aluminate, powder",yes,low,
437,composite moulds,stretch blow moulding,yes,low,
438,contact dryers,hair dryer,no,no,
439,yacht,marine engine,no,no,
440,advanced controller,"electronics, for control units",no,no,
441,connector cables,used cable,yes,low,
442,water jet cut-outs,"water discharge from petroleum extraction, offshore",no,no,
443,acrylic adhesives,acrylic acid,no,no,
444,garden strimmers,"grass seed, organic, for sowing",no,no,
445,acid-resistant steel flanges,"used room-connecting overflow element steel, approx. 40 m3/h",no,no,
446,cooker hood,"exhaust air roof hood, steel, DN 400",yes,medium,
447,copper brans,copper sulfate,no,no,
448,air conditioning system filters,"air filter, decentralized unit, 180-250 m3/h",yes,low,
449,air filters,"used air filter decentralized unit, 180-250 m3/h",no,no,
450,acoustic insulation wood windows,"wood preservation facility, oscillating pressure method",no,no,
451,new potatoes,potato,yes,high,
452,compression springs,"air compressor, screw-type compressor, 300kW",no,no,
453,agar agar powder,coating powder,no,no,
454,gas pressure control units,"natural gas, high pressure, vehicle grade",no,no,
455,gas pressure control units,"natural gas, high pressure",no,no,
456,furniture handles,"purse seiner maintenance, wood",no,no,
457,adhesive masking tapes,"adhesive, for metal",yes,low,
458,construction broaches,bromopropane,no,no,
459,wines - catalonia,grape,yes,low,
460,galvanised steel stay cables,"aluminium around steel bi-metal wire, 3.67mm external diameter",no,no,
461,gelatine,acrylonitrile,no,no,
462,gelling agent,butyl acrylate,no,no,
463,agitators for wastewater treatment,ion-exchanger for water treatment,no,no,
464,acrylic adhesives,polyurethane adhesive,no,no,
465,compressed air components,"compressed air, 600 kPa gauge",yes,high,
466,compressed air tyre lever,"compressed air, 700 kPa gauge",yes,low,
467,yacht,ferry,yes,high,
468,gift items in gold,"gold-silver, ingot",yes,low,
469,2nd hand machine,"industrial machine, heavy, unspecified",yes,low,
470,cooked cold meat,"red meat, live weight",yes,low,
471,garden flowers,sunflower seed,no,no,
472,abrasives for metal,"adhesive, for metal",no,no,
473,collar,brass,no,no,
474,garment bags,"sanforizing, textile",no,no,
475,"additives, pigments",cyanogen chloride,no,no,
476,air conditioners for camper vans,"air distribution terminal panel, steel, 120 m3/h",no,no,
477,air forwarding,"forwarding, forwarder",yes,medium,
478,german pumps,"water pump operation, diesel",no,no,
479,confectionery,"yogurt, from cow milk",yes,low,
480,modern fireplaces,charcoal,no,no,
481,yellow pollen,seed-cotton,no,no,
482,gearbox,"maintenance, bicycle",no,no,
483,abrasives for metal,scrap aluminium,no,no,
484,water repellants for limestone,limestone residue,no,no,
485,cooking robots for the home,building machine,no,no,
486,actuator-sensor cables,"cable, three-conductor cable",yes,low,
487,wines - extremadura,grape,yes,low,
488,copper bars,scrap copper,yes,low,
489,copper alloy turned parts,copper oxide,no,no,
490,motor oil,base oil,yes,high,
491,cooked cold meat,cookstove,no,no,
492,additives for precooked products,"wood preservative, organic, indoor use, dry",no,no,
493,wine crates,lime,no,no,
494,gearbox,"metal working machine, unspecified",no,no,
495,convertible roofs,"photovoltaic module, building-integrated, for slanted-roof installation",yes,medium,
496,colour sensors,"polarizer, liquid crystals and colour filters, for liquid crystal display",no,no,
497,construction broaches,bromoxynil,no,no,
498,gel fragrances,butyl acrylate,no,no,
499,giftsets,harvester,no,no,
500,gas compressors,"air compressor, screw-type compressor, 4kW",yes,high,
501,yellow corn,maize starch,no,no,
502,cooling belt,cooling energy,no,no,
503,gas-fires,refinery gas,yes,low,
504,gasholders,propane,no,no,
505,mowing machines for gardening,"mowing, by motor mower",yes,low,
506,german cosmetics,"textile, silk",no,no,
507,gas fitting,synthetic gas factory,no,no,
508,game-bags,paper sack,no,no,
509,gas-fires,propane,yes,low,
510,zinc alloy,zinc oxide,no,no,
511,wood charcoal,hard coal ash,no,no,
512,cored wires,"wire drawing, copper",yes,low,
513,gauges,"compressed air, 800 kPa gauge",yes,high,
514,gear parts for motor vehicles,"electronic component machinery, unspecified",no,no,
515,colour analysers,"printer, laser, colour",no,no,
516,"compounds, inorganic","chemical, organic",yes,high,
517,gaming chassis,"chassis, internet access equipment",yes,medium,
518,"wines, lucania",piperidine,no,no,
519,moroccan style tiles,ceramic tile,yes,high,
520,composition plants,"grass, organic",yes,low,
521,waterproof cable gland,waste wire plastic,no,no,
522,acrylic resins,cationic resin,no,no,
523,wheelchair restraint belts,conveyor belt,no,no,
524,cooking hobs,"tillage, hoeing and earthing-up, potatoes",no,no,
525,compressed air dryers,hair dryer,no,no,
526,conveyor belt drums,"transport, freight, conveyor belt",no,no,
527,combined unit,"heat and power co-generation unit, 200kW electrical, common components for heat+electricity",yes,low,
528,gas bottle,coal gas,no,no,
529,4-corner blade,"used trawler, steel",no,no,
530,windows for roofs,"photovoltaic slanted-roof installation, 3kWp, multi-Si, laminated, integrated, on roof",no,no,
531,natural dye,"batch dyeing, fibre, cotton",no,no,
532,waterproof tarpaulins for trucks,mastic asphalt,no,no,
533,modified starch,potato starch,yes,high,
