main_activity,clustered,tilt_subsector
distributor,beach maintenance machines,Machinery & Equipment
distributor,beacon,Machinery & Equipment
distributor,"bearings, antifriction",Automotive LDV
distributor,beauty articles,Other Industry
distributor,beauty items,Agriculture & Livestock
distributor,beauty products,The tilt_subsector would be Food Related
distributor,beauty slimming - fitness health,Food Related Products
distributor,bebida aloe vera,Agriculture & Livestock
distributor,beds,Automotive LDV
distributor,bedspreads,Food Related Products
distributor,bedsteads,Automotive LDV
distributor,bee product,Food Related Products
distributor,beef cold cuts,Food Related Products
distributor,beef cutting workshop,Food Related Products
distributor,beekeeping equipment,Agriculture & Livestock
distributor,beekeeping machinery,Agriculture & Livestock
distributor,beekeeping products,Agriculture & Livestock
distributor,beer,Food Related Products
distributor,beer equipment,Food Related Products
distributor,beer taps,Food Related Products
distributor,bees,Agriculture & Livestock
distributor,"bells, casting",Iron & Steel
distributor,belt leather,Automotive LDV
distributor,benzoyl peroxide,Construction Buildings
distributor,berth rental,Shipping
distributor,berth sales,Shipping
distributor,bespoke packager,Construction Residential
distributor,beverage additives,Food Related Products
distributor,beverage industries,Food Related Products
distributor,beverages retail,Food Related Products
distributor,beverages wholesale,Food Related Products
distributor,"beverages, concentrates",Food Related Products
distributor,"beverages, powders",Food Related Products
distributor,bicycle accessories,Construction Residential
distributor,bicycle components,Machinery & Equipment
distributor,bicycle covers,Machinery & Equipment
distributor,bicycle frames,The tilt_subsector would be Other Transport
distributor,bicycle parts,Machinery & Equipment
distributor,bicycle saddles,Other Transport
distributor,bijouterie,Other Industry
distributor,billiard accessories,Machinery & Equipment
distributor,billiard tables,Machinery & Equipment
distributor,binding equipment,Machinery & Equipment
distributor,binding machinery,Machinery & Equipment
distributor,biocosmetic products,Agriculture & Livestock
distributor,biomass,Renewable Energy
distributor,biomass energy - production,Renewable Energy
distributor,biotechnology,Food Related Products
distributor,birdseed,Food Related Products
distributor,biscuit factory,Food Related Products
distributor,biscuit-making equipment,Machinery & Equipment
distributor,biscuit-making machinery,Machinery & Equipment
distributor,biscuits,Food Related Products
distributor,blades for cutting machines,Other Industry
distributor,blades for saws,Other Industry
distributor,"blades, industrial",Machinery & Equipment
distributor,blank leather,Automotive LDV
distributor,blanket,Food Related Products
distributor,bmw ac schnitzer used cars,Automotive LDV
distributor,bmw used car,Automotive LDV
distributor,board articles,Food Related Products
distributor,board products,Food Related Products
distributor,boarding - non-ferrous metal,Construction Buildings
distributor,"boarding, metal",Construction Buildings
distributor,boat dealer,Shipping
distributor,boats,Shipping
distributor,boats reseller,Shipping
distributor,bodywork shop,Automotive HDV
distributor,boilerwork,Construction Residential
distributor,bolt,Shipping
distributor,"bolts, fastening",Machinery & Equipment
distributor,bonded warehouses,Construction Buildings
distributor,bonding agents,Oil Energy
distributor,bonsai trees,Agriculture & Livestock
distributor,boring equipment,Machinery & Equipment
distributor,boring machine assistance,Construction Residential
distributor,"boring, plant",Machinery & Equipment
distributor,botanic extracts,Agriculture & Livestock
distributor,bouillon powder,Food Related Products
distributor,brake disks,Automotive HDV
distributor,brakes,Automotive LDV
distributor,brandy,Food Related Products
distributor,brass instruments,Other Metals
distributor,brazing,Construction Buildings
distributor,brazing equipment,Machinery & Equipment
distributor,brazing supplies,Construction Buildings
distributor,bread,Food Related Products
distributor,brewing equipment,Machinery & Equipment
distributor,brewing machinery,Machinery & Equipment
distributor,briefcases,Automotive HDV
distributor,brushing machines,Machinery & Equipment
distributor,building equipment,Construction Buildings
distributor,building machinery,Construction Buildings
distributor,bulk material,Construction Residential
distributor,"bulps, bedding plants",Food Related Products
distributor,bumper,Automotive HDV
distributor,bus,Automotive HDV
distributor,bus accessories,Automotive LDV
distributor,bus seats,Automotive LDV
distributor,bus spare parts,Automotive LDV
distributor,business communication consultants,Other Industry
distributor,business consultancy,Machinery & Equipment
distributor,business gifts,Construction Residential
distributor,business information,Machinery & Equipment
distributor,business trips - organisation,Other Transport
distributor,butcher shop supplies,Food Related Products
distributor,butcher's shop,Agriculture & Livestock
distributor,butchery equipment,Machinery & Equipment
distributor,butchery machinery,Machinery & Equipment
distributor,butterfly valves,Machinery & Equipment
distributor,buying,Agriculture & Livestock
distributor,cable accessories,Machinery & Equipment
distributor,cable car,Automotive LDV
distributor,"cables, telephone",Shipping
distributor,cad development design work,Construction Buildings
distributor,cad/cam manufacturing,Construction Buildings
distributor,cad/cam service,Construction Buildings
distributor,cafés equipment,Food Related Products
distributor,cafés machinery,Machinery & Equipment
distributor,cake,Food Related Products
distributor,cake mixes,Food Related Products
distributor,"cakes, dietetic",Food Related Products
distributor,calibration of measuring instruments,Total Power
distributor,camper van,Automotive LDV
distributor,camper van preparation,Automotive LDV
distributor,campers,Automotive LDV
distributor,camping accessories,Construction Residential
distributor,camping equipment,Automotive LDV
distributor,camping parts,Construction Residential
distributor,camping vehicles,Automotive LDV
distributor,candy floss,Food Related Products
distributor,candy production equipment,Machinery & Equipment
distributor,candy production systems,Machinery & Equipment
distributor,canned vegetable,Food Related Products
distributor,cap,Other Metals
distributor,"caps, plastic",Other Transport
distributor,car,Automotive LDV
distributor,car accessories,Automotive LDV
distributor,car catalyst,Automotive HDV
distributor,car component,Automotive HDV
distributor,car consumables,Automotive HDV
distributor,car filters,Automotive HDV
distributor,car insurance,Automotive LDV
distributor,car lifts for garages,Construction Buildings
distributor,car lubricant,Oil Energy
distributor,car park,Construction Buildings
distributor,car parking system,Construction Buildings
distributor,car parts,Automotive HDV
distributor,car ports,Construction Buildings
distributor,car rental,Automotive HDV
distributor,car seats,Automotive LDV
distributor,car spare part,Automotive HDV
distributor,car tuning equipment,Machinery & Equipment
distributor,car workshop,Automotive LDV
distributor,car-lift,Automotive LDV
distributor,caramel candies,Food Related Products
distributor,caravan fitting,Automotive LDV
distributor,caravans,Construction Residential
distributor,caravans accessories,Construction Residential
distributor,caravans parts,Construction Residential
distributor,carbide-coated drawing rings,Machinery & Equipment
distributor,carbon bows,Automotive LDV
distributor,carbon fuel,Oil Energy
distributor,cardan shafts,Machinery & Equipment
distributor,cardboard - manufacturing machinery,Machinery & Equipment
distributor,cardboard articles for the beverage industry,Food Related Products
distributor,cardboard disposable articles,Other Industry
distributor,cardboard disposable tableware,Other Industry
distributor,cardboard for the packaging industry,Other Industry
distributor,cardboard manufacture,Construction Buildings
distributor,cardboard manufacturing equipment,Machinery & Equipment
distributor,cardboard manufacturing machinery,Machinery & Equipment
distributor,carob flours,Food Related Products
distributor,carpenting,Construction Residential
distributor,carpentry equipment,Construction Buildings
distributor,carpentry machinery,Construction Buildings
distributor,carpentry work,Construction Residential
distributor,"cars, electrical parts",The tilt_subsector would be Other Transport
distributor,carwash systems,Automotive LDV
distributor,cash registers,Machinery & Equipment
distributor,casings for the butchery industry,Food Related Products
distributor,casks,Construction Residential
distributor,"casks, plastic",Construction Residential
distributor,cassettes,Machinery & Equipment
distributor,cast iron items,Machinery & Equipment
distributor,cast steel,Iron & Steel
distributor,castors,Machinery & Equipment
distributor,castors for furniture,Other Transport
distributor,cat crunchies,Food Related Products
distributor,cat food,Food Related Products
distributor,catering,Food Related Products
distributor,catering equipment,Food Related Products
distributor,catering machinery,Machinery & Equipment
distributor,catering service,Food Related Products
distributor,catering supplies,Food Related Products
distributor,cattle carcasses,Agriculture & Livestock
distributor,cattle import export,Agriculture & Livestock
distributor,cava,Food Related Products
distributor,cbd,Food Related Products
distributor,cbd beverages,Food Related Products
distributor,cbd drink,Food Related Products
distributor,cbd flowers,Food Related Products
distributor,cbd products,Food Related Products
distributor,cbd-infused waters,Food Related Products
distributor,cbg,Other Industry
distributor,cbn,Other Metals
distributor,ceilings,Construction Buildings
distributor,celebrations articles,Automotive LDV
distributor,celebrations decorations,Construction Buildings
distributor,cement clearing,Construction Residential
distributor,central purchasing office,Construction Residential
distributor,central vacuum system repairs,Automotive LDV
distributor,centralised exhaust systems maintenance,Automotive LDV
distributor,ceramic dyes,Construction Buildings
distributor,ceramic fibers,Construction Buildings
distributor,ceramic manufacturing equipment,Machinery & Equipment
distributor,ceramic manufacturing machinery,Machinery & Equipment
distributor,ceramic pastes,Construction Buildings
distributor,ceramics for coatings,Construction Buildings
distributor,cereal,Food Related Products
distributor,cereal for zootechnical use,Food Related Products
distributor,cereals and grains,Food Related Products
distributor,chains,Automotive LDV
distributor,chair lifts,Construction Buildings
distributor,chambers for bakeries,Food Related Products
distributor,champagne,Food Related Products
distributor,champenois sparkling wine,Food Related Products
distributor,channel jet-washing,Other Transport
distributor,charter boat rental,Shipping
distributor,cheese grater,Food Related Products
distributor,cheese-making machinery,Machinery & Equipment
distributor,cheesecake,Food Related Products
distributor,cheesy vegan bread,Food Related Products
distributor,chemical abrasive,Other Industry
distributor,chemical additives for the canning industry,Food Related Products
distributor,chemical additives for the food industry,Food Related Products
distributor,chemical binders,Construction Buildings
distributor,chemical product,Chemicals
distributor,chemical strippres,Automotive LDV
distributor,chemical waste collection,Chemicals
distributor,chemical waste recycling,Chemicals
distributor,chemicals packaging machinery,Machinery & Equipment
distributor,chemistry derivatives,Chemicals
distributor,chemistry raw materials,Chemicals
distributor,chewing gum,Food Related Products
distributor,chickpea flour,Food Related Products
distributor,childrenswear,Automotive HDV
distributor,"chips, chilled",Food Related Products
distributor,"chips, deep-frozen",Food Related Products
distributor,"chips, frozen",Food Related Products
distributor,"chips, precooked",Food Related Products
distributor,chocolate,Food Related Products
distributor,chocolate gift boxes,Food Related Products
distributor,chocolate processing equipment,Machinery & Equipment
distributor,chocolate torrone,Food Related Products
distributor,"chocolates, filled",Food Related Products
distributor,chorizo,Food Related Products
distributor,chrome leather,Food Related Products
distributor,chromium plating,Iron & Steel
distributor,cinnamon,Food Related Products
distributor,circular blade,Iron & Steel
distributor,citrus fruits,Food Related Products
distributor,citrus trees,Agriculture & Livestock
distributor,civil engineering,Construction Buildings
distributor,clamping plates,Iron & Steel
distributor,clean room processes,Machinery & Equipment
distributor,clean room systems,Machinery & Equipment
distributor,cleaning accessories,Other Transport
distributor,cleaning equipment,Construction Buildings
distributor,cleaning services,no_match
distributor,cleavers,Machinery & Equipment
distributor,clinker paving,Construction Buildings
distributor,clippers,Food Related Products
distributor,clock,Construction Residential
distributor,clock making,Construction Buildings
distributor,clock supplies,Machinery & Equipment
distributor,closed thursday,Food Related Products
distributor,cloth tapes,Construction Buildings
distributor,clothes banks,Bioenergy & Waste Energy
distributor,"clothes, children's",Food Related Products
distributor,"clothes, men's",Construction Buildings
distributor,"clothes, women's",Other Industry
distributor,clothing,Other Industry
distributor,clothing collection,Other Industry
distributor,clothing supplies,Food Related Products
distributor,clutch,Automotive LDV
distributor,cnc milled parts,Construction Buildings
distributor,cnc milling,Machinery & Equipment
distributor,cnc plastic processing,Construction Buildings
distributor,cnc turned parts,Construction Buildings
distributor,coach,Automotive LDV
distributor,coach accessories,Automotive LDV
distributor,coach bodywork,Automotive LDV
distributor,coach spare parts,Automotive LDV
distributor,coachbuilding,Automotive HDV
distributor,"coaches, building",Other Transport
distributor,coating,Construction Residential
distributor,coating resins,Construction Buildings
distributor,cocks,Agriculture & Livestock
distributor,coconut oil,Food Related Products
distributor,cod,Food Related Products
distributor,coffee blends,Food Related Products
distributor,coffee distributor,Food Related Products
distributor,coffee machine accessory,Machinery & Equipment
distributor,coffee machine service,Machinery & Equipment
distributor,coffee vending machine management,Machinery & Equipment
distributor,coffee wholesale,Food Related Products
distributor,cold cuts equipment,Food Related Products
distributor,cold cuts machinery,Machinery & Equipment
distributor,collagenic entrails,Food Related Products
distributor,collar,Agriculture & Livestock
distributor,collection,Chemicals
distributor,collection of rags,Agriculture & Livestock
distributor,collection of used clothing,Bioenergy & Waste Energy
distributor,"collection of waste, equipment",Chemicals
distributor,colours for ceramics,Construction Buildings
distributor,commercial vehicles electrical parts,Machinery & Equipment
distributor,communication,Construction Residential
distributor,compactors,Construction Buildings
distributor,company radio systems,Automotive LDV
distributor,component,Machinery & Equipment
distributor,components for boats,Shipping
distributor,components for industrial equipment,Machinery & Equipment
distributor,components for industrial plants,Machinery & Equipment
distributor,components for ships,Shipping
distributor,composition,Construction Residential
distributor,compressed air tool,Iron & Steel
distributor,compressed air tyre lever,Automotive LDV
distributor,compressed-air installations,Machinery & Equipment
distributor,concentrated fruit juices,Food Related Products
distributor,concrete form,Construction Buildings
distributor,concrete products,Construction Buildings
distributor,concrete sewer pipes,Construction Buildings
distributor,condensation chambers,Shipping
distributor,condiments,Food Related Products
distributor,conditioner,Food Related Products
distributor,confectionary,Food Related Products
distributor,confectionary industries,Food Related Products
distributor,confectionary industry equipment,Food Related Products
distributor,confectionery,Food Related Products
distributor,confectionery machinery,Machinery & Equipment
distributor,conglomerates,Construction Residential
distributor,congresses organisation,Other Industry
distributor,congresses services,Other Industry
distributor,construction,Construction Buildings
distributor,construction equipment,Construction Buildings
distributor,construction machinery,Construction Buildings
distributor,construction site installations,Construction Buildings
distributor,"construction, industrial, contractors",Construction Buildings
distributor,consultancy,No_match
distributor,consultants,Shipping
distributor,consultants construction,Construction Residential
distributor,contact lens,Other Industry
distributor,contact lenses accessories,Other Industry
distributor,contact rings,Machinery & Equipment
distributor,contact tubes for annealing,Machinery & Equipment
distributor,container,Construction Buildings
distributor,container hire,Other Transport
distributor,container services,Other Transport
distributor,container transport systems,Other Transport
distributor,contract extraction,Fishing & Forestry
distributor,control equipment,Machinery & Equipment
distributor,conveyor belt,Machinery & Equipment
distributor,conveyors,Construction Residential
distributor,cookers for communities,Food Related Products
distributor,cooking equipment,Machinery & Equipment
distributor,cooking preparation systems,Food Related Products
distributor,cooking utensils,Food Related Products
distributor,copper alloy,Other Metals
distributor,copper brans,Other Metals
distributor,copper pastes,Construction Buildings
distributor,copper pipe,Construction Buildings
distributor,copper powder,Construction Buildings
distributor,copper rings,Other Metals
distributor,copper rods,Other Metals
distributor,cor flour for zootechnical use,Food Related Products
distributor,cord,Construction Buildings
distributor,coriander,Food Related Products
distributor,cork floors,Construction Buildings
distributor,cork plugs,Fishing & Forestry
distributor,corporate removals,Other Transport
distributor,corrosion inhibitors,Oil Energy
distributor,cosmetic,Food Related Products
distributor,cosmetics industry equipment,Machinery & Equipment
distributor,cosmetics industry machinery,Machinery & Equipment
distributor,costume jewellery,Other Industry
distributor,"couplings, mechanical",Machinery & Equipment
distributor,courier,Other Transport
distributor,cowhide,Automotive LDV
distributor,cpm bearings,Automotive LDV
distributor,crane truck rental,Construction Buildings
distributor,cranes,Machinery & Equipment
distributor,cream cookers for the ice-cream industry,Automotive LDV
distributor,crockery,Construction Buildings
distributor,"crockery, porcelain",Construction Buildings
distributor,crop planting,Agriculture & Livestock
distributor,crop protection,Agriculture & Livestock
distributor,crop services,Agriculture & Livestock
distributor,crushed pistachios,Food Related Products
distributor,crushers,Construction Buildings
distributor,crushing machinery,Machinery & Equipment
distributor,crushing of active ingredients for the pharmaceutical industry,Food Related Products
distributor,crustacean powder,Food Related Products
distributor,crustaceans,Food Related Products
distributor,"crustaceans, tinned",Food Related Products
distributor,crystal glassware,Construction Buildings
distributor,crystal tableware,Construction Buildings
distributor,curios,Other Industry
distributor,curtains,Construction Residential
distributor,custom packaging,Construction Residential
distributor,customer-specific programming,Automotive LDV
distributor,customised shower earthenware,Construction Buildings
distributor,cut flowers,Agriculture & Livestock
distributor,cut-resistant gloves,Agriculture & Livestock
distributor,cutlery,Construction Residential
distributor,cutters,Machinery & Equipment
distributor,cutting,Machinery & Equipment
distributor,cutting - machine tools,Machinery & Equipment
distributor,cutting bars for motorised cultivators,Other Industry
distributor,cycling helmets,Other Transport
distributor,cylinder gears,Machinery & Equipment
distributor,d.i.y,Machinery & Equipment
distributor,daily greens,Food Related Products
distributor,dairies equipment,Food Related Products
distributor,dairies machinery,Machinery & Equipment
distributor,dairy,Food Related Products
distributor,damage recovery,Other Industry
distributor,damaged cars,Automotive HDV
distributor,damaged goods,Agriculture & Livestock
distributor,damaged goods recycling,Bioenergy & Waste Energy
distributor,data processing media information technology,Machinery & Equipment
distributor,dates,Food Related Products
distributor,dealer,Automotive HDV
distributor,decoration,Construction Buildings
distributor,decorative porcelain,Construction Buildings
distributor,deep-frozen french fries,Food Related Products
distributor,deer pate,Food Related Products
distributor,deer sausages,Food Related Products
distributor,dehydrated vegetables,Food Related Products
distributor,deli meats,Food Related Products
distributor,delicatessen fashion home cosmetics,Food Related Products
distributor,delicatessen machinery,Machinery & Equipment
distributor,delicatessen products,Food Related Products
distributor,delivery of palletized drums,Machinery & Equipment
distributor,dentistry supplies,Construction Buildings
distributor,"dentistry, accessories",Construction Residential
distributor,deodorants,The tilt_subsector would be Other Metals
distributor,derivatives,Other Transport
distributor,design products,Machinery & Equipment
distributor,design supplies,Machinery & Equipment
distributor,detergent dispenser,Food Related Products
distributor,detergents,Food Related Products
distributor,"detergents, household",Automotive LDV
distributor,development strategy,Other Transport
distributor,diabetic food,Food Related Products
distributor,diamond tools,Machinery & Equipment
distributor,dicing machines,Machinery & Equipment
distributor,dicumyl peroxide,Construction Residential
distributor,diesel engine maintenance,Shipping
distributor,diesel filter,Shipping
distributor,diesel transfer pumps,Shipping
distributor,diet products,Food Related Products
distributor,dietary foods,Food Related Products
distributor,dietetic foods,Food Related Products
distributor,digital control machine tools,Construction Buildings
distributor,digital cutting plotter,Machinery & Equipment
distributor,disabled lift,Automotive LDV
distributor,discontinued products,Agriculture & Livestock
distributor,"disinfectants, non-medical",Food Related Products
distributor,disinfecting equipment,Machinery & Equipment
distributor,dismantling of industrial plants,Construction Residential
distributor,dispensers,Food Related Products
distributor,display boards,Automotive LDV
distributor,disposable articles,Other Industry
distributor,disposable face masks,Construction Residential
distributor,disposable gloves,Other Industry
distributor,disposable medical articles,Construction Residential
distributor,disposable medical gloves,Food Related Products
distributor,disposable shirts,Food Related Products
distributor,disposable tableware,Other Transport
distributor,distilling equipment,Machinery & Equipment
distributor,distilling machinery,Machinery & Equipment
distributor,distribution,Food Related Products
distributor,distribution centre,A: Agriculture & Livest
distributor,distribution of cut flowers,Agriculture & Livestock
distributor,distribution of food products,Food Related Products
distributor,distribution of gas fuels,Gas Energy
distributor,distribution of honey,Food Related Products
distributor,distributor,Food Related Products
distributor,distributor of food products,Food Related Products
distributor,distributor of food supplements,Food Related Products
distributor,distributor of olive oil,Food Related Products
distributor,do-it-yourself items,Automotive LDV
distributor,document reproduction machines,Machinery & Equipment
distributor,dog biscuits,Food Related Products
distributor,dog crunchies,Food Related Products
distributor,dog food,Food Related Products
distributor,dolls,Construction Buildings
distributor,"domestic articles, wooden",Construction Residential
distributor,domestic plumbing,Construction Residential
distributor,domestic refrigeration equipment,Construction Residential
distributor,doors opened,Agriculture & Livestock
distributor,"doors, house",Construction Residential
distributor,dosing equipment,Machinery & Equipment
distributor,double sided tape,Construction Buildings
distributor,dough fermentation cabinets,Food Related Products
distributor,drainage equipment,Construction Residential
distributor,drainage systems,Construction Residential
distributor,draught beer systems,Food Related Products
distributor,drawing cones,Machinery & Equipment
distributor,drawing rings,Iron & Steel
distributor,drawing tools,Machinery & Equipment
distributor,dressed pork factory products,Agriculture & Livestock
distributor,dressed pork products,Food Related Products
distributor,dried flowers,Agriculture & Livestock
distributor,dried fruit preserved in honey,Food Related Products
distributor,dried vegetable,Food Related Products
distributor,drill,Machinery & Equipment
distributor,drilling equipment,Machinery & Equipment
distributor,drilling in rock,Other Industry
distributor,drilling machinery,Other Industry
distributor,drink,Food Related Products
distributor,drink dispenser,Food Related Products
distributor,drink dispensers for commercial use,Food Related Products
distributor,drinking water fountain,Food Related Products
distributor,"drinks, soft",Food Related Products
distributor,"drums, metal",Other Metals
distributor,dry cleaning equipment,Construction Residential
distributor,dry cleaning machinery,Construction Residential
distributor,dry foods,Food Related Products
distributor,dry pet food,Food Related Products
distributor,dry salted cod,Agriculture & Livestock
distributor,dual component glue packaging,Construction Residential
distributor,durum wheat semolina,Agriculture & Livestock
distributor,dustbins,Other Transport
distributor,dutch company is a leading supplier of cod,Food Related Products
distributor,duvets,Food Related Products
distributor,e-business - services,Machinery & Equipment
distributor,earthenware,Construction Residential
distributor,earthworms - fertilizer,Agriculture & Livestock
distributor,eau de parfum,The tilt_subsector would be Other Metals
distributor,eau de toilette,The tilt_subsector would be Other Metals
distributor,eccentric lathes,Construction Residential
distributor,eco-responsible products,Food Related Products
distributor,ecofriendly,Renewable Energy
distributor,ecological farming,Agriculture & Livestock
distributor,ecological food,Agriculture & Livestock
distributor,ecological fuels,Bioenergy & Waste Energy
distributor,edible fat,Food Related Products
distributor,edible frogs' legs,Food Related Products
distributor,edible snails,Agriculture & Livestock
distributor,edm accessories,Other Metals
distributor,edm filter,Other Metals
distributor,edm wire,Other Metals
distributor,effluent treatment,Other Industry
distributor,egg whites,Food Related Products
distributor,eggs,Agriculture & Livestock
distributor,eiderdowns,Food Related Products
distributor,elastic nets,Other Industry
distributor,electric bicycle hire,Other Transport
distributor,electric car,Automotive HDV
distributor,electric citrus-fruit squeezers,Machinery & Equipment
distributor,electric equipment,Machinery & Equipment
distributor,electric machines components,Machinery & Equipment
distributor,electric parts,Machinery & Equipment
distributor,electric traction systems,Renewable Energy
distributor,electric vehicle integrator,Renewable Energy
distributor,electric welding equipment,Machinery & Equipment
distributor,electric welding supplies,Machinery & Equipment
distributor,electrical equipment,Machinery & Equipment
distributor,electrical insulation,Construction Residential
distributor,electrical insulators,Construction Residential
distributor,electrical road signals equipment,Machinery & Equipment
distributor,electrical road signs systems,Machinery & Equipment
distributor,electrical systems,Machinery & Equipment
distributor,electricity - works,Total Power
distributor,electricity equipment,Machinery & Equipment
distributor,electricity measurement equipment,Machinery & Equipment
distributor,electricity measurement instruments,Machinery & Equipment
distributor,electricity regulation equipment,Construction Residential
distributor,electricity regulation instruments,Construction Residential
distributor,electricity supply stations,Automotive LDV
distributor,electrolysis machines,Machinery & Equipment
distributor,electronic data processing - computer peripherals,Machinery & Equipment
distributor,electronic data processing - microcomputers,Machinery & Equipment
distributor,"electronic equipment, aircraft",Machinery & Equipment
distributor,electronics - pleasure boats,Shipping
distributor,electropumps,Other Transport
distributor,elimination waste,Chemicals
distributor,emc shielding,Aviation
distributor,enamels,Construction Buildings
distributor,endurance bikes,Automotive LDV
distributor,energy management,Construction Residential
distributor,energy measurement equipment,Machinery & Equipment
distributor,energy measurement instruments,Total Energy
distributor,energy performance,Renewable Energy
distributor,energy regulation equipment,Construction Residential
distributor,energy regulation instruments,Total Energy
distributor,energy regulators,Renewable Energy
distributor,energy sector consultancy,Total Power
distributor,"energy sources, alternative equipment",Renewable Energy
distributor,"energy sources, alternative systems",Renewable Energy
distributor,"energy, production equipment",Renewable Energy
distributor,"energy, production plants",Renewable Energy
distributor,"engine regulating equipment, electronic",Machinery & Equipment
distributor,"engine testing equipment, electronic",Machinery & Equipment
distributor,"engineering, industrial contractors",Construction Buildings
distributor,entrails,Food Related Products
distributor,environment - services,Construction Residential
distributor,environmental clean-up equipment,Machinery & Equipment
distributor,environmental clean-up machines,Machinery & Equipment
distributor,environmental protection,Construction Residential
distributor,environmental protection equipment,Machinery & Equipment
distributor,environmental protection machines,Machinery & Equipment
distributor,enzymatically treated oat drink powders,Machinery & Equipment
distributor,equipement motard,Machinery & Equipment
distributor,equipment,Machinery & Equipment
distributor,equipment for butcher shops,Food Related Products
distributor,equipment for carding hemp,Agriculture & Livestock
distributor,equipment for combing hemp,Agriculture & Livestock
distributor,equipment for pork products,Machinery & Equipment
distributor,equipment for processing hams,Food Related Products
distributor,equipment for smoking meats,Food Related Products
distributor,equipment for the production of beet sugar,Agriculture & Livestock
distributor,equipment for the treatment of sludge,Machinery & Equipment
distributor,equipment tools,Machinery & Equipment
distributor,"equipment, reconditioned",Machinery & Equipment
distributor,equipped offices services,Construction Buildings
distributor,erection of industrial plants,Construction Residential
distributor,"essences, nonfood",Food Related Products
distributor,essential oils,Food Related Products
distributor,essential oils for the body,Food Related Products
distributor,estate agents,Machinery & Equipment
distributor,evacuation systems,Construction Buildings
distributor,exhaust system,Automotive LDV
distributor,exhausting plants,Automotive LDV
distributor,"exhibitions, stand fittings",Other Industry
distributor,exotic fruit,Agriculture & Livestock
distributor,exotic fruit drink,Food Related Products
distributor,exotic plants,Agriculture & Livestock
distributor,expensive,Food Related Products
distributor,export,Other Transport
distributor,export pulses,Agriculture & Livestock
distributor,export service,Gas Energy
distributor,exports of second-hand garments,Other Industry
distributor,express delivery,Other Transport
distributor,express delivery service,Other Transport
distributor,expresso machines for cafés,Food Related Products
distributor,exterior lighting,Renewable Energy
distributor,extract,Construction Buildings
distributor,extraction equipment ores,Machinery & Equipment
distributor,"extraction equipment, minerals",Machinery & Equipment
distributor,"extraction machinery, minerals",Machinery & Equipment
distributor,"extraction machinery, ores",Machinery & Equipment
distributor,extracts for animal feed,Food Related Products
distributor,extracts for beverages,Food Related Products
distributor,extracts for food supplements,Food Related Products
distributor,eyeglass,Other Industry
distributor,eyeglass accessory,Automotive LDV
distributor,eyeglass lenses,Construction Residential
distributor,eyeglasses frame,Machinery & Equipment
distributor,fabric printing equipment,Machinery & Equipment
distributor,fabric printing machinery,Machinery & Equipment
distributor,fabric stocks,A: Agriculture & Livest
distributor,factory fittings,Machinery & Equipment
distributor,false ceilings,Construction Buildings
distributor,fan ovens for professional bakeries,Food Related Products
distributor,fans,Food Related Products
distributor,farm machinery,Machinery & Equipment
distributor,farm machinery repair shops,Machinery & Equipment
distributor,farmed caviar,Agriculture & Livestock
distributor,farming advice,Food Related Products
distributor,farming industrial machinery,Machinery & Equipment
distributor,farming machinery,Machinery & Equipment
distributor,farming machinery sales,Machinery & Equipment
distributor,farms tools,Machinery & Equipment
distributor,fastener,Machinery & Equipment
distributor,"fasteners, metal",Iron & Steel
distributor,fastening devices,Shipping
distributor,fatty acids,Food Related Products
distributor,façade work contractors,Construction Buildings
distributor,feather bedding collection,Other Industry
distributor,feed distribution systems,Machinery & Equipment
distributor,feeding equipment,Machinery & Equipment
distributor,fences,Construction Residential
distributor,fermented oat drink powders,Food Related Products
distributor,ferrous metal sheet,Construction Buildings
distributor,filler,Machinery & Equipment
distributor,filling of bottles,Construction Residential
distributor,filling of cartridges,Construction Residential
distributor,filling of tubes,Construction Residential
distributor,filling of tubs,Construction Residential
distributor,filling systems,Machinery & Equipment
distributor,filter equipment,Machinery & Equipment
distributor,filtering supplies,Shipping
distributor,filters,Automotive HDV
